cat,都道府県,マスター件数,ATP件数,ATP純増,投入後件数,実数統計,カバー率_現行,カバー率_ATP単独,カバー率_投入後
supermarket,島根県,223,0,0,223,273,0.817,0.000,0.817
supermarket,広島県,663,3,1,664,601,1.103,0.005,1.105
supermarket,徳島県,198,0,0,198,203,0.975,0.000,0.975
supermarket,愛媛県,330,0,0,330,356,0.927,0.000,0.927
supermarket,愛知県,1437,105,20,1457,917,1.567,0.115,1.589
supermarket,新潟県,574,3,0,574,490,1.171,0.006,1.171
supermarket,東京都,3759,230,17,3776,2063,1.822,0.111,1.830
supermarket,栃木県,474,17,5,479,361,1.313,0.047,1.327
supermarket,沖縄県,536,1,1,537,437,1.227,0.002,1.229
supermarket,滋賀県,300,104,25,325,206,1.456,0.505,1.578
supermarket,熊本県,443,1,1,444,414,1.070,0.002,1.072
supermarket,石川県,300,22,7,307,218,1.376,0.101,1.408
supermarket,神奈川県,1912,97,12,1924,1257,1.521,0.077,1.531
supermarket,福井県,203,28,9,212,189,1.074,0.148,1.122
supermarket,福岡県,1289,3,3,1292,653,1.974,0.005,1.979
supermarket,福島県,426,3,1,427,388,1.098,0.008,1.101
supermarket,秋田県,262,0,0,262,253,1.036,0.000,1.036
supermarket,群馬県,476,41,8,484,342,1.392,0.120,1.415
supermarket,茨城県,662,12,4,666,510,1.298,0.024,1.306
supermarket,長崎県,337,0,0,337,399,0.845,0.000,0.845
supermarket,長野県,547,15,1,548,383,1.428,0.039,1.431
supermarket,青森県,293,0,0,293,364,0.805,0.000,0.805
supermarket,静岡県,1017,38,5,1022,533,1.908,0.071,1.917
supermarket,香川県,272,0,0,272,223,1.220,0.000,1.220
supermarket,高知県,198,0,0,198,238,0.832,0.000,0.832
supermarket,鳥取県,139,0,0,139,154,0.903,0.000,0.903
supermarket,鹿児島県,431,0,0,431,443,0.973,0.000,0.973
